mid,chinese_text,like_count,comments_count,reposts_count,created_date,user_id,attitude
4.45E+15,在上海迪士尼待了14个小时刷了13个项目的走心攻略！ 赶紧来马走～ 上海迪士尼调整票价 上海 ,822,62,413,9月15日,6118811663,1
4.45E+15,【投票：上海迪士尼调整票价 你去过上海迪士尼乐园吗？】 财经网的微博投票 ,160354,365,219,9月15日,1642088277,0
4.45E+15,王一博王一博上海迪士尼大雨中跳舞，王一博后劲太大了！我越来越爱他了咋办！！！ 律动popping的微博视频 ,71,7,15,12月4日,6042105371,0
4.45E+15,迪士尼玫玫缓缓倒下的画面，让无数拥有童心的人难受不已，这段视频在网络竟达到了近两亿的关注。迪士尼乐园规定，演职人员不得随意摘下头套和衣服。孩子踏入迪士尼，就开始童话世界的冒险。他们希望永远都不去干扰大家的梦境，不去破坏所有人的童真。穿着带皮毛的厚重衣服，在炎炎烈日下又唱又跳一小时。这个扮演玫玫的演职人员没有选择摘下头套，在身体不适的时候，仍旧希望守护着迪士尼的最后一丝童真和美好，守护着孩子们的梦！雪梨枚是真实存在的，你一定要相信奇迹啊！这是她内心的坚守...请关怀每一个为你提供过便利或者带来快乐的工作者。祝愿每个人，都能拥有一个彼此尊重的美好。上海迪士尼调整票价 ,26,9,3,9月15日,2100708653,-1
4.45E+15,上海迪士尼调整票价 要是降价不是更多人了？？？平日票也没涨啊，香港迪士尼也不便宜呢吧，咋一个个这么针对上海迪士尼呢。一边说要降价一边又嫌人多。在环球影城开之前，其他的乐园根本就没有可比性不去就不去呗，谁还逼你了真是 ,11,2,0,9月15日,3891544070,0
4.45E+15,【上海迪士尼启用X光机安检】针对部分游客反映安检慢、繁琐、不友好等问题，上海迪士尼乐园启用X光机安检。目前乐园的两个安检通道各新增一台X光机以及新的指示牌，其他安检通道仍为人工安检。游客反映，X光机安检比传统安检速度快了很多。中新视频的秒拍视频 ,578,1038,1042,9月15日,1792829601,1
4.45E+15,上海迪士尼调整票价上海迪士尼最高价涨至699元這是一個搶錢的時代，上海迪士尼先下手為強！ 上海迪士尼最高价涨至699元，你觉得这次调整合理吗？ ,1,0,0,9月15日,1420657134,0
4.45E+15,最好的时光在路上，一路向阳！上海·上海迪士尼乐园 上海·上海迪士尼乐园 2019年的常杀人的微博视频 ,2,0,0,9月15日,1732499253,0
4.45E+15,上海迪士尼调整票价广东人表示：有这个钱，还不如去香港迪士尼，起码不用排队 佛山 ,16,7,0,9月15日,2060672713,-1
4.45E+15,上海迪士尼乐园两日游P1   提前准备P2  入园事项P3~P4  游乐设施体验感以及注意事项P5 一张照片P6 米奇童话专列&amp;点亮奇梦夜光幻影秀P7  娱乐演出&amp;合影项目P8  餐饮小吃P9  拍照购物&amp;总结上海玩乐上海迪士尼分享来自：HeyDan嘿丹 ,15,1,8,9月15日,2846632611,0
4.45E+15,手机壁纸迪士尼 迪士尼公主✖️壁纸👑“所有人都催我长大，只有你愿意把我宠成孩子” 上海迪士尼调整票价 ,12,0,3,9月15日,7299466812,0
4.45E+15,在古代没有电，天黑的时间都非常难熬，古代的女人都干些什么呢？上海迪士尼调整票价 悄悄围观的微博视频 ,19,10,4,9月15日,2639278851,0
4.45E+15,今天是我和他在一起的第453天江西和内蒙古目前一起去过 广州 深圳 西安 上海 南京 还有包头和南昌 都说旅行特别检验情侣 我接下来想说的就是一些我们旅行的小故事我说我想去南京看秋天 下一周就订好了机票陪我去看梧桐看枫叶 他说有个惊喜要给我南京呆了几天之后要带我去上海 偷偷定了迪士尼的票要带我去看烟花 在西安趁我睡觉的时候熬夜给我写小纸条塞在我的手机壳后面🦄在上海的时候因为我午睡突然醒了喊他名字他跟我说很感动 在我睡觉的时候帮我整理好行李 把我的衣服丢进洗衣机里洗好📸每一次旅行我做攻略带他去看他想看的吃他想吃的 只要他说了我就一定能找到 他是路盲但我只要走一次路我就记得 我不愿整理行李丢三落四他就每一次帮我整理好东西 等我过了安检口他才放心 他说我怕你有一天把你自己丢了👧出门我如果不牵他的手他就马上会说某些人一点意识也没有 然后我就会马上挽着他的手他就会说这才对嘛✔️吃饭的时候剥虾是常备技能 把好吃的第一口给我吃也是他的第一反应🥘在一起的时候会给我做饭 给我买花 陪我一起玩一起闹 睡醒的第一件事就是亲我一口睡前的最后一件事是说一句 晚安我爱你🍯对别人有时候脾气不好 对我就很多的忍让 有他在的时候过的真的超级开心 👦最后我想告诉他 我爱你我的男孩❤️,90,27,3,12月5日,3822710584,0
4.45E+15,在迪士尼遇到唐老鸭本鸭 【太可爱！当迪士尼玩偶遇到了自己的“迷你版”】这位小朋友经常在迪士尼乐园，穿着玩偶的cos服和本尊一起玩耍。唐老鸭、史迪仔、米妮...本尊的反应好有爱！ YouTube精彩视频的秒拍视频 上海迪士尼调整票价 ,12,4,4,9月15日,1988563285,1
4.45E+15,在迪士尼遇到唐老鸭本鸭  游上海迪士尼，大小唐老鸭一家四口的即视感，好有爱！ 普吉岛王权新罗接送的微博视频 ,160,55,23,9月15日,3798850551,1
4.45E+15,【沪生育保险和职工医保明年起合并实施！生育保险待遇不降低 | 新民早报 [2019.12.7]】■ 自2020年1月1日起，上海将实现生育保险和职工医疗保险合并实施。两项保险合并实施后，生育妇女生育保险待遇不降低，合并后职工基本医疗保险单位缴费费率为10.5%（含原来生育保险单位缴费费率1%），个人缴费费率不变，仍为2%（生育保险个人仍不缴费）。■ 新版《上海市廉租住房租金配租管理实施细则》优化简化办理流程，廉租对象办理手续最多只跑一次，该细则将于2020年1月1日起施行，有效期至2024年12月31日。■ 上海迪士尼调整票价 明年6月6日起，上海迪士尼乐园将实行四级票价，分别为399元、499元、599元、699元，分别对应常规日（涵盖冬季和秋季的大部分日期）、特别常规日（涵盖春季大部分日期和部分周末）、高峰日（涵盖夏季大部分日期、部分周末及部分节假日假期）和特别高峰日（部分超高客流的法定节假日及其相关调休或假日，以及一些国际性节日）。 新民晚报 ,1,1,1,9月15日,1737737970,0
4.45E+15,在迪士尼遇到唐老鸭本鸭 昨晚上海迪士尼调整票价 ，说是调价，实际就是涨价，相当于一个负面，今天早上一个小朋友cos唐老鸭，就遇到唐老鸭本鸭，虽然这个不是上海的，但这应该是迪士尼的硬广吧？ 武汉 ,15,8,7,9月15日,2661992301,1
4.45E+15,【昨夜今晨 看看大家都在议论些什么吧[思考]】1.新疆反恐纪录片 中国新疆，位于亚洲中部的十字路口，极端主义和恐怖主义构成巨大挑战，代价则是人们的生命。这一切如何滥觞？政府与人民又会付出怎样的代价？请看CGTN纪录片《中国新疆 反恐前沿》↓警告：部分案件和画面属于首次公布，可能引起不适，请慎重观看。（@CGTN ）,27,1,18,9月15日,1870549587,0
